"date","delaware"
"2016-10-09",48
"2016-10-16",49
"2016-10-23",57
"2016-10-30",49
"2016-11-06",49
"2016-11-13",56
"2016-11-20",81
"2016-11-27",84
"2016-12-04",75
"2016-12-11",84
"2016-12-18",80
"2016-12-25",73
"2017-01-01",65
"2017-01-08",64
"2017-01-15",52
"2017-01-22",53
"2017-01-29",54
"2017-02-05",56
"2017-02-12",49
"2017-02-19",48
"2017-02-26",53
"2017-03-05",52
"2017-03-12",50
"2017-03-19",51
"2017-03-26",54
"2017-04-02",50
"2017-04-09",51
"2017-04-16",58
"2017-04-23",52
"2017-04-30",59
"2017-05-07",63
"2017-05-14",51
"2017-05-21",52
"2017-05-28",57
"2017-06-04",55
"2017-06-11",59
"2017-06-18",60
"2017-06-25",59
"2017-07-02",60
"2017-07-09",73
"2017-07-16",55
"2017-07-23",62
"2017-07-30",70
"2017-08-06",58
"2017-08-13",66
"2017-08-20",67
"2017-08-27",68
"2017-09-03",71
"2017-09-10",54
"2017-09-17",59
"2017-09-24",62
"2017-10-01",56
"2017-10-08",64
"2017-10-15",66
"2017-10-22",56
"2017-10-29",61
"2017-11-05",66
"2017-11-12",76
"2017-11-19",93
"2017-11-26",93
"2017-12-03",90
"2017-12-10",89
"2017-12-17",90
"2017-12-24",79
"2017-12-31",63
"2018-01-07",67
"2018-01-14",63
"2018-01-21",62
"2018-01-28",62
"2018-02-04",58
"2018-02-11",61
"2018-02-18",59
"2018-02-25",65
"2018-03-04",56
"2018-03-11",58
"2018-03-18",61
"2018-03-25",60
"2018-04-01",53
"2018-04-08",54
"2018-04-15",64
"2018-04-22",65
"2018-04-29",56
"2018-05-06",59
"2018-05-13",53
"2018-05-20",60
"2018-05-27",62
"2018-06-03",57
"2018-06-10",62
"2018-06-17",57
"2018-06-24",61
"2018-07-01",61
"2018-07-08",63
"2018-07-15",99
"2018-07-22",67
"2018-07-29",62
"2018-08-05",66
"2018-08-12",64
"2018-08-19",68
"2018-08-26",68
"2018-09-02",63
"2018-09-09",59
"2018-09-16",50
"2018-09-23",55
"2018-09-30",63
"2018-10-07",61
"2018-10-14",63
"2018-10-21",69
"2018-10-28",56
"2018-11-04",68
"2018-11-11",71
"2018-11-18",90
=======
"2013-12-01",81
"2013-12-08",69
"2013-12-15",73
"2013-12-22",62
"2013-12-29",54
"2014-01-05",53
"2014-01-12",45
"2014-01-19",47
"2014-01-26",44
"2014-02-02",44
"2014-02-09",49
"2014-02-16",42
"2014-02-23",43
"2014-03-02",49
"2014-03-09",45
"2014-03-16",44
"2014-03-23",45
"2014-03-30",45
"2014-04-06",42
"2014-04-13",44
"2014-04-20",51
"2014-04-27",44
"2014-05-04",42
"2014-05-11",42
"2014-05-18",49
"2014-05-25",46
"2014-06-01",45
"2014-06-08",50
"2014-06-15",51
"2014-06-22",49
"2014-06-29",56
"2014-07-06",53
"2014-07-13",55
"2014-07-20",53
"2014-07-27",54
"2014-08-03",55
"2014-08-10",56
"2014-08-17",61
"2014-08-24",53
"2014-08-31",51
"2014-09-07",49
"2014-09-14",48
"2014-09-21",48
"2014-09-28",49
"2014-10-05",52
"2014-10-12",45
"2014-10-19",53
"2014-10-26",50
"2014-11-02",50
"2014-11-09",58
"2014-11-16",60
"2014-11-23",78
"2014-11-30",89
"2014-12-07",77
"2014-12-14",82
"2014-12-21",70
"2014-12-28",64
"2015-01-04",52
"2015-01-11",50
"2015-01-18",59
"2015-01-25",50
"2015-02-01",48
"2015-02-08",49
"2015-02-15",55
"2015-02-22",47
"2015-03-01",49
"2015-03-08",51
"2015-03-15",49
"2015-03-22",43
"2015-03-29",52
"2015-04-05",47
"2015-04-12",48
"2015-04-19",48
"2015-04-26",50
"2015-05-03",48
"2015-05-10",44
"2015-05-17",44
"2015-05-24",48
"2015-05-31",47
"2015-06-07",56
"2015-06-14",62
"2015-06-21",52
"2015-06-28",58
"2015-07-05",60
"2015-07-12",79
"2015-07-19",59
"2015-07-26",55
"2015-08-02",57
"2015-08-09",61
"2015-08-16",62
"2015-08-23",63
"2015-08-30",63
"2015-09-06",55
"2015-09-13",55
"2015-09-20",56
"2015-09-27",53
"2015-10-04",51
"2015-10-11",59
"2015-10-18",57
"2015-10-25",54
"2015-11-01",54
"2015-11-08",58
"2015-11-15",69
"2015-11-22",98
"2015-11-29",100
"2015-12-06",81
"2015-12-13",90
"2015-12-20",84
"2015-12-27",67
"2016-01-03",47
"2016-01-10",49
"2016-01-17",48
"2016-01-24",45
"2016-01-31",48
"2016-02-07",46
"2016-02-14",45
"2016-02-21",49
"2016-02-28",46
"2016-03-06",47
"2016-03-13",42
"2016-03-20",43
"2016-03-27",46
"2016-04-03",44
"2016-04-10",43
"2016-04-17",43
"2016-04-24",44
"2016-05-01",44
"2016-05-08",38
"2016-05-15",46
"2016-05-22",48
"2016-05-29",52
"2016-06-05",45
"2016-06-12",50
"2016-06-19",50
"2016-06-26",52
"2016-07-03",50
"2016-07-10",62
"2016-07-17",50
"2016-07-24",51
"2016-07-31",47
"2016-08-07",50
"2016-08-14",49
"2016-08-21",53
"2016-08-28",52
"2016-09-04",53
"2016-09-11",43
"2016-09-18",52
"2016-09-25",47
"2016-10-02",46
"2016-10-09",48
"2016-10-16",51
"2016-10-23",49
"2016-10-30",50
"2016-11-06",52
"2016-11-13",54
"2016-11-20",79
"2016-11-27",80
"2016-12-04",76
"2016-12-11",75
"2016-12-18",75
"2016-12-25",67
"2017-01-01",58
"2017-01-08",58
"2017-01-15",54
"2017-01-22",53
"2017-01-29",49
"2017-02-05",53
"2017-02-12",49
"2017-02-19",48
"2017-02-26",51
"2017-03-05",52
"2017-03-12",47
"2017-03-19",53
"2017-03-26",51
"2017-04-02",44
"2017-04-09",47
"2017-04-16",49
"2017-04-23",50
"2017-04-30",55
"2017-05-07",57
"2017-05-14",49
"2017-05-21",53
"2017-05-28",57
"2017-06-04",54
"2017-06-11",58
"2017-06-18",57
"2017-06-25",58
"2017-07-02",60
"2017-07-09",75
"2017-07-16",54
"2017-07-23",60
"2017-07-30",66
"2017-08-06",55
"2017-08-13",62
"2017-08-20",63
"2017-08-27",61
"2017-09-03",61
"2017-09-10",58
"2017-09-17",57
"2017-09-24",56
"2017-10-01",54
"2017-10-08",58
"2017-10-15",62
"2017-10-22",61
"2017-10-29",60
"2017-11-05",67
"2017-11-12",73
"2017-11-19",92
"2017-11-26",88
"2017-12-03",84
"2017-12-10",87
"2017-12-17",85
"2017-12-24",80
"2017-12-31",66
"2018-01-07",59
"2018-01-14",66
"2018-01-21",60
"2018-01-28",56
"2018-02-04",59
"2018-02-11",58
"2018-02-18",55
"2018-02-25",57
"2018-03-04",57
"2018-03-11",56
"2018-03-18",56
"2018-03-25",58
"2018-04-01",56
"2018-04-08",54
"2018-04-15",54
"2018-04-22",58
"2018-04-29",54
"2018-05-06",60
"2018-05-13",55
"2018-05-20",54
"2018-05-27",58
"2018-06-03",57
"2018-06-10",60
"2018-06-17",56
"2018-06-24",59
"2018-07-01",57
"2018-07-08",61
"2018-07-15",86
"2018-07-22",63
"2018-07-29",63
"2018-08-05",65
"2018-08-12",61
"2018-08-19",61
"2018-08-26",63
"2018-09-02",62
"2018-09-09",58
"2018-09-16",53
"2018-09-23",53
"2018-09-30",64
"2018-10-07",60
"2018-10-14",64
"2018-10-21",61
"2018-10-28",57
"2018-11-04",63
"2018-11-11",69
"2018-11-18",88
>>>>>>> michael
